20150624-1050,0.00%
20150624-1250,0.00%
20150625-1458,0.00%
20150626-0837,0.00%
20150706-1514,86.36%
20150707-1424,58.33%
20150708-1058,48.00%
20150726-1242,64.00%
20150729-1505,68.00%
20150730-0911,68.00%
20150807-0938,100.00%
20150812-1125,95.45%
20150812-1835,90.91%
20150813-1640,100.00%
20150817-0936,100.00%
20150818-1042,100.00%
20150818-1609,100.00%
20150825-1522,100.00%
20150826-1430,90.91%
20150826-1901,95.45%
20150827-0945,100.00%
20150827-1608,95.45%
20150827-1752,95.45%
20150904-0835,0.00%
20150908-1729,100.00%
20150911-1537,100.00%
20150913-1020,95.45%
20150913-1800,100.00%
20150915-1123,90.91%
20150916-1239,100.00%
20150917-1145,100.00%
20150917-1732,100.00%
20150918-1420,100.00%
20150920-2006,86.36%
20150921-0946,68.18%
20150922-0949,86.36%
20150922-1410,100.00%
20150923-1157,100.00%
20150923-2313,100.00%
20150924-0629,100.00%
20150924-1514,100.00%
20150928-0811,95.45%
20150928-1712,90.91%
20150929-1415,63.64%
20150930-0933,90.91%
20150930-1129,90.91%
20150930-1833,22.73%
20151006-0732,41.03%
20151006-0946,44.44%
20151006-1240,10.26%
20151006-2354,90.91%
20151007-0553,47.22%
20151013-1521,86.36%
20151014-0911,72.73%
20151015-0506,0.00%
20151015-1122,86.36%
20151016-0605,86.36%
20151016-1941,86.36%
20151019-0447,86.36%
20151019-0638,86.36%
20151019-1131,86.36%
20151021-1207,81.82%
20151021-1911,86.36%
20151023-1436,63.64%
20151024-2158,86.36%
20151025-1148,86.36%
20151026-1430,63.64%
20151028-1313,86.36%
20151028-1516,86.36%
20151029-1039,86.36%
20151029-1310,86.36%
20151029-1524,81.82%
20151029-2026,86.36%
20151030-1112,81.82%
20151102-1057,81.82%
20151102-1629,0.00%
20151104-1051,86.36%
20151104-1908,86.36%
20151105-1204,86.36%
20151111-1036,100.00%
20151111-1314,100.00%
20151114-2317,100.00%
20151116-0918,100.00%
20151116-1457,100.00%
20151117-1227,100.00%
20151117-1459,100.00%
20151118-0052,95.45%
20151122-1704,100.00%
20151124-1218,100.00%
20151124-1623,100.00%
20151130-1341,100.00%
20151204-1340,100.00%
20151206-1628,100.00%
20151207-1700,100.00%
20151207-1801,100.00%
20151216-1127,0.00%
20151221-1121,100.00%
20151222-1301,100.00%
20160107-0513,100.00%
20160125-1125,100.00%
20160401-1751,100.00%
20160414-1040,100.00%
20160414-1403,100.00%
20160501-2050,78.12%
20160615-1411,100.00%
20160616-0936,100.00%
20160616-1132,100.00%
20160616-1247,100.00%
20160624-1547,100.00%
20160627-1654,100.00%
20160627-1754,100.00%
20160628-1506,100.00%
20160629-1233,100.00%
20160708-0455,100.00%
20160708-1429,100.00%
20160708-1723,100.00%
20160727-1410,100.00%
20160727-1630,100.00%
20160805-1102,100.00%
20160823-1428,100.00%
20160824-1653,100.00%
20160825-1410,100.00%
20160825-1509,100.00%
20160914-1004,100.00%
20161005-0708,100.00%
20161008-0442,100.00%
20161103-1016,100.00%
20161108-0544,100.00%
20161125-1037,100.00%
20161129-1417,100.00%
20170103-0600,100.00%
20170106-0750,100.00%
20170110-1351,100.00%
20170113-1120,100.00%
20170125-1137,100.00%
20170207-1307,100.00%
20170217-0639,100.00%
20170217-0817,100.00%
20170307-1609,100.00%
20170308-1005,100.00%
20170322-1648,100.00%
20170324-1238,100.00%
20170327-1217,100.00%
20170329-1510,100.00%
20170329-1751,100.00%
20170331-1720,100.00%
20170403-0957,100.00%
20170404-0532,100.00%
20170404-0701,100.00%
20170404-1304,100.00%
20170405-0908,100.00%
20170405-1409,100.00%
20170406-1022,100.00%
20170406-1426,100.00%
20170407-0458,100.00%
20170407-0948,100.00%
20170407-1045,100.00%
20170407-1555,100.00%
20170410-0656,100.00%
20170410-1301,100.00%
20170428-0919,100.00%
20170428-1718,100.00%
20170502-1525,100.00%
20170508-1303,100.00%
20170511-0806,100.00%
20170515-1112,100.00%
20170516-0945,100.00%
20170518-1304,100.00%
20170518-1526,100.00%
20170518-1754,100.00%
20170519-1552,100.00%
