20150615-1906,84.21%
20150616-1942,89.47%
20150616-2256,84.21%
20150617-0250,92.11%
20150617-1142,84.21%
20150617-1538,89.47%
20150617-1922,84.21%
20150617-2306,78.95%
20150618-0249,50.00%
20150618-1544,92.11%
20150619-1157,89.47%
20150619-1849,84.21%
20150620-0053,84.21%
20150621-0245,86.84%
20150622-1145,81.58%
20150622-1448,84.21%
20150622-1840,84.21%
20150623-1502,94.74%
20150623-1844,86.84%
20150623-2316,84.21%
20150624-0240,92.11%
20150624-1139,81.58%
20150624-1443,86.84%
20150624-1928,92.11%
20150624-2240,86.84%
20150625-0243,89.47%
20150625-1143,84.21%
20150625-1848,97.37%
20150626-2311,92.11%
20150627-0243,89.47%
20150627-2239,89.47%
20150628-0242,86.84%
20150628-1842,92.11%
20150629-1144,94.74%
20150701-1404,36.84%
20150702-0205,39.47%
20150702-1559,36.84%
20150702-2059,34.21%
20150702-2227,29.27%
20150703-0220,29.27%
20150703-1417,29.27%
20150703-1821,29.27%
20150703-2217,29.27%
20150705-0208,29.27%
20150706-1400,29.27%
20150706-1818,84.21%
20150706-2215,29.27%
20150707-1111,29.27%
20150707-1545,29.27%
20150707-2238,89.47%
20150708-0213,89.47%
20150708-1112,97.37%
20150708-1818,29.27%
20150708-2123,31.71%
20150713-2213,29.27%
20150714-0216,86.84%
20150714-1412,89.47%
20150715-1600,92.11%
20150715-1822,31.71%
20150715-2206,97.37%
20150716-0209,29.27%
20150716-1521,89.47%
20150716-1815,92.11%
20150716-2209,94.74%
20150717-0202,92.11%
20150717-1109,86.84%
20150717-1413,89.47%
20150717-1808,86.84%
20150717-2201,89.47%
20150718-0203,92.11%
20150718-1109,86.84%
20150718-1812,89.47%
20150719-0208,89.47%
20150720-1103,89.47%
20150720-1406,86.84%
20150720-2102,86.84%
20150721-1115,86.84%
20150721-1408,84.21%
20150721-2019,81.58%
20150721-2216,84.21%
20150722-1546,86.84%
20150722-1809,84.21%
20150722-2215,86.84%
20150723-0211,84.21%
20150723-1113,86.84%
20150723-1410,84.21%
20150723-2316,81.58%
20150724-0208,84.21%
20150724-1813,84.21%
20150724-2212,84.21%
20150725-1101,84.21%
20150725-1807,86.84%
20150726-1100,84.21%
20150726-1402,81.58%
20150726-1805,81.58%
20150727-1842,44.74%
20150727-2239,44.74%
20150728-0203,47.37%
20150728-1105,47.37%
20150728-1409,86.84%
20150728-1949,86.84%
